Date,/ES,AAPL Last,AAPL Bid,AAPL BS,AAPL Ask,AAPL AS,AAPL Volume,AAPL Open,AAPL High,AAPL Low,QQQ last,QQQ Bid,QQQ BS,QQQ Ask,QQQ AS,QQQ Volume,SPY Last,SPY Bid,SPY BS,SPY Ask,SPY AS,SPY Volume
1/16/2024 2:43:17 AM,4789.5,185.92,182.56,1,182.7,6,114824,0,0,0,409.56,406.69,9,406.73,17,90507,476.68,474.04,4,474.09,4,32841
1/16/2024 2:43:20 AM,4789.5,185.92,182.56,1,182.7,6,114824,0,0,0,409.56,406.67,15,406.71,8,90507,476.68,474.02,4,474.06,4,32841
1/16/2024 2:43:23 AM,4789.5,185.92,182.56,1,182.7,6,114824,0,0,0,409.56,406.69,1,406.72,8,90507,476.68,474.03,5,474.09,13,32841
1/16/2024 2:43:26 AM,4789.5,185.92,182.56,1,182.7,6,114824,0,0,0,409.56,406.7,18,406.74,8,90507,476.68,474.04,4,474.09,13,32843
1/16/2024 2:43:29 AM,4789.5,185.92,182.56,1,182.7,6,114824,0,0,0,409.56,406.71,8,406.74,8,90507,476.68,474.04,4,474.09,13,32843
1/16/2024 2:43:32 AM,4789.75,185.92,182.56,1,182.7,6,114824,0,0,0,409.56,406.7,18,406.74,9,92307,476.68,474.04,4,474.09,4,32843
1/16/2024 2:43:35 AM,4789.75,185.92,182.56,1,182.7,6,114826,0,0,0,409.56,406.7,28,406.74,1,92307,476.68,474.04,4,474.09,4,32843
1/16/2024 2:43:38 AM,4789.75,185.92,182.56,1,182.7,6,114827,0,0,0,409.56,406.7,28,406.74,1,92307,476.68,474.04,4,474.09,4,32846
1/16/2024 2:43:41 AM,4789.5,185.92,182.56,1,182.7,6,114827,0,0,0,409.56,406.69,1,406.73,8,92307,476.68,474.03,5,474.09,17,32846
1/16/2024 2:43:44 AM,4789.5,185.92,182.56,1,182.67,1,114830,0,0,0,409.56,406.68,17,406.73,8,92307,476.68,474.04,4,474.08,4,32846
1/16/2024 2:43:47 AM,4789.5,185.92,182.56,1,182.67,1,114830,0,0,0,409.56,406.69,1,406.73,8,92307,476.68,474.04,4,474.08,4,32846
1/16/2024 2:43:50 AM,4789.25,185.92,182.56,1,182.67,1,114830,0,0,0,409.56,406.65,10,406.69,8,92308,476.68,474,4,474.04,4,32846
1/16/2024 2:43:53 AM,4789.25,185.92,182.56,1,182.67,1,114830,0,0,0,409.56,406.66,19,406.7,9,92308,476.68,474,9,474.06,9,32846
1/16/2024 2:43:56 AM,4789.25,185.92,182.56,1,182.67,1,114832,0,0,0,409.56,406.67,8,406.71,8,92308,476.68,474.01,4,474.06,4,32846
1/16/2024 2:43:59 AM,4789.25,185.92,182.56,1,182.67,1,114833,0,0,0,409.56,406.66,1,406.7,17,92308,476.68,474.01,4,474.06,4,32846
1/16/2024 2:44:02 AM,4789.25,185.92,182.56,1,182.67,1,114834,0,0,0,409.56,406.66,18,406.7,8,92308,476.68,474.01,4,474.06,4,32846
1/16/2024 2:44:05 AM,4789.25,185.92,182.56,1,182.67,1,114834,0,0,0,409.56,406.66,9,406.7,8,92308,476.68,474.01,4,474.06,4,32846
1/16/2024 2:44:08 AM,4789.25,185.92,182.56,1,182.67,1,114835,0,0,0,409.56,406.65,9,406.69,8,92308,476.68,473.99,6,474.03,3,32846
1/16/2024 2:44:11 AM,4789.25,185.92,182.56,1,182.67,1,114835,0,0,0,409.56,406.65,18,406.69,8,92308,476.68,473.99,5,474.03,3,32846
1/16/2024 2:44:14 AM,4789.25,185.92,182.56,1,182.67,1,114835,0,0,0,409.56,406.65,1,406.68,8,92308,476.68,473.99,4,474.02,4,32846
1/16/2024 2:44:17 AM,4789,185.92,182.56,1,182.67,1,114835,0,0,0,409.56,406.64,18,406.68,8,92308,476.68,473.99,4,474.02,4,32846
1/16/2024 2:44:20 AM,4789,185.92,182.56,1,182.67,1,114839,0,0,0,409.56,406.64,18,406.68,8,92308,476.68,473.99,4,474.02,4,32846
1/16/2024 2:44:23 AM,4789,185.92,182.56,1,182.67,1,114840,0,0,0,409.56,406.65,1,406.68,8,92308,476.68,473.99,4,474.02,4,32846
1/16/2024 2:44:26 AM,4789,185.92,182.56,1,182.67,1,114840,0,0,0,409.56,406.64,18,406.68,8,92308,476.68,473.99,4,474.03,4,32846
1/16/2024 2:44:29 AM,4789,185.92,182.56,1,182.67,1,114840,0,0,0,409.56,406.65,19,406.69,8,92308,476.68,473.99,4,474.03,4,32846
1/16/2024 2:44:32 AM,4789.25,185.92,182.56,1,182.67,1,114840,0,0,0,409.56,406.65,19,406.69,8,92308,476.68,473.99,4,474.03,4,32846
1/16/2024 2:44:35 AM,4789.5,185.92,182.56,1,182.67,1,114841,0,0,0,409.56,406.68,18,406.72,17,92308,476.68,474.01,9,474.08,5,32846
1/16/2024 2:44:38 AM,4789.5,185.92,182.56,1,182.67,1,114842,0,0,0,409.56,406.67,19,406.72,8,92308,476.68,474.02,4,474.07,4,32846
1/16/2024 2:44:41 AM,4789.5,185.92,182.56,1,182.67,1,114848,0,0,0,409.56,406.67,1,406.71,8,92308,476.68,474.02,4,474.07,4,32846
1/16/2024 2:44:44 AM,4789.5,185.92,182.56,1,182.67,1,114849,0,0,0,409.56,406.67,10,406.71,8,92308,476.68,474.02,4,474.07,4,32847
