Date,/ES,AAPL Last,AAPL Bid,AAPL BS,AAPL Ask,AAPL AS,AAPL Volume,AAPL Open,AAPL High,AAPL Low,QQQ last,QQQ Bid,QQQ BS,QQQ Ask,QQQ AS,QQQ Volume,SPY Last,SPY Bid,SPY BS,SPY Ask,SPY AS,SPY Volume
2024-01-16 07:46:05,4801.25,185.92,183.2,16.0,183.3,5.0,309662.0,0.0,0.0,0.0,409.56,407.99,17,408.04,9,253189.0,476.68,475.2,13,475.24,4,258232.0
2024-01-16 07:46:08,4801.5,185.92,183.2,16.0,183.3,5.0,309883.0,0.0,0.0,0.0,409.56,407.99,17,408.04,9,253189.0,476.68,475.22,7,475.25,7,258252.0
2024-01-16 07:46:11,4801.5,185.92,183.2,16.0,183.3,5.0,309883.0,0.0,0.0,0.0,409.56,407.98,8,408.03,9,253189.0,476.68,475.21,3,475.24,4,258252.0
2024-01-16 07:46:14,4801.5,185.92,183.14,1.0,183.25,4.0,312339.0,0.0,0.0,0.0,409.56,408.01,1,408.04,1,253194.0,476.68,475.22,4,475.24,4,258253.0
2024-01-16 07:46:17,4801.5,185.92,183.14,1.0,183.25,4.0,312349.0,0.0,0.0,0.0,409.56,408.0,9,408.04,9,253194.0,476.68,475.21,7,475.24,7,258303.0
2024-01-16 07:46:20,4801.25,185.92,183.14,1.0,183.25,4.0,312350.0,0.0,0.0,0.0,409.56,407.96,8,408.01,10,253195.0,476.68,475.17,13,475.21,4,258303.0
2024-01-16 07:46:23,4800.75,185.92,183.14,1.0,183.29,1.0,312371.0,0.0,0.0,0.0,409.56,407.95,24,408.0,9,253198.0,476.68,475.15,4,475.18,4,258338.0
2024-01-16 07:46:26,4801.25,185.92,183.17,1.0,183.3,5.0,312550.0,0.0,0.0,0.0,409.56,407.99,27,408.04,10,253198.0,476.68,475.21,7,475.24,4,258358.0
2024-01-16 07:46:29,4801.5,185.92,183.17,1.0,183.3,5.0,312557.0,0.0,0.0,0.0,409.56,408.01,19,408.07,9,253198.0,476.68,475.23,4,475.27,13,258358.0
2024-01-16 07:46:32,4802.25,185.92,183.17,2.0,183.3,5.0,312557.0,0.0,0.0,0.0,409.56,408.06,1,408.11,10,253198.0,476.68,475.29,7,475.31,3,258438.0
2024-01-16 07:46:35,4802.0,185.92,183.17,2.0,183.3,5.0,312559.0,0.0,0.0,0.0,409.56,408.05,9,408.1,19,253198.0,476.68,475.26,4,475.29,4,258838.0
2024-01-16 07:46:38,4802.0,185.92,183.17,2.0,183.3,5.0,312559.0,0.0,0.0,0.0,409.56,408.04,27,408.09,1,253448.0,476.68,475.26,4,475.28,4,258838.0
2024-01-16 07:46:41,4802.0,185.92,183.17,2.0,183.3,5.0,312559.0,0.0,0.0,0.0,409.56,408.05,1,408.1,10,253448.0,476.68,475.27,4,475.29,7,258838.0
2024-01-16 07:46:44,4802.0,185.92,183.17,2.0,183.3,5.0,312560.0,0.0,0.0,0.0,409.56,408.05,1,408.1,28,253448.0,476.68,475.27,4,475.29,7,258858.0
2024-01-16 07:46:47,4802.0,185.92,183.17,2.0,183.3,5.0,312560.0,0.0,0.0,0.0,409.56,408.05,1,408.09,1,253452.0,476.68,475.27,7,475.29,4,258858.0
2024-01-16 07:46:50,4801.5,185.92,183.17,2.0,183.3,5.0,312560.0,0.0,0.0,0.0,409.56,408.01,26,408.06,9,253532.0,476.68,475.22,18,475.27,4,258903.0
